id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
97	catalytic activity	0.834	0.3523	4	85	135	17	2015.5294	43.7059	1.2882
98	catalytic property	0.8452	0.14	6	78	147	17	2012.3529	105.4706	1.7409
99	cavity	-0.9837	-0.6278	3	167	740	78	2020.9231	16.0128	0.8699
100	cavity region	-1.294	-0.6325	3	48	190	18	2021.0556	22.2778	0.8052
101	cell adhesion	-0.3143	0.0609	2	56	128	17	2007.1765	27.9412	0.6357
102	cell growth	-0.5944	-0.1707	2	49	119	16	2017.5625	13.25	0.348
103	cell proliferation	-0.4561	-0.2166	2	54	103	12	2017.25	16.25	1.0903
104	cellular activity	-0.0189	-0.1992	1	37	72	12	2018.9167	27.5833	0.8616
105	ceo2	0.5591	0.9941	4	46	143	14	2019.2857	11.2143	0.5607
106	channel length	-0.86	-0.5905	3	60	105	12	2021.25	6.4167	0.2612
107	channel material	-0.1714	-0.7777	1	79	234	15	2021.3333	35.6667	1.2137
108	charge density	-0.9587	-0.4031	3	127	320	30	2018.5333	34.3667	0.8315
109	charge transport	0.2106	-0.7499	1	133	416	32	2017	64.5938	1.6861
110	chemical property	0.6201	-0.2906	1	120	204	26	2016.3462	38	1.2546
111	chemical reaction	0.0009	-0.4444	1	99	168	15	2021.0667	25.6667	1.0946
112	chemiluminescence	0.7668	0.0664	6	129	345	38	2015.7105	61.1316	1.7378
113	chip biosensor	-0.2434	-0.9	3	24	62	11	2015.8182	13.0909	0.554
114	chitosan	0.7958	0.1418	6	93	288	26	2016.6923	25.0385	1.1821
115	chox	-0.3669	-0.3762	3	59	213	14	2021.2857	45.2143	2.2555
116	circuit	-0.3815	-0.5468	3	314	1815	202	2017.0594	21.0644	0.8347
117	classification	0.1692	-0.4801	1	77	142	20	2021.05	18.8	1.5797
118	cmos biosensor	-0.7158	-0.1318	2	47	89	16	2016.125	19.4375	0.6318
119	cnt	-0.1563	0.9338	5	117	521	39	2017.1538	47.5641	1.3366
120	cnts	0.1665	0.6305	5	107	510	41	2013.8293	74.122	1.9669
121	commercialization	-0.1266	-0.2566	1	112	175	21	2018.7619	46.2381	1.6498
122	comparative analysis	-0.5282	-0.7169	3	54	72	10	2020.8	14.6	0.6186
123	comparative study	-0.8916	-0.2006	3	93	144	14	2018.2857	15	0.4816
124	complementary metal oxide semiconductor	-0.6355	-0.2693	2	296	1051	155	2016.9742	25.3806	0.761
125	complementary metaloxidesemiconductor	-0.5833	-0.4498	3	80	120	18	2016.7778	12.5	0.3915
