id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
115	drug discovery	-0.1765	0.3541	1	97	261	21	2015.8095	19.2381	0.6438
116	drug release	-0.785	0.0111	1	134	370	28	2018.3571	11.9643	0.9092
117	drug screening	-0.3727	0.4677	1	103	268	19	2017.4737	14	0.4806
118	dynamic	0.0676	-0.0043	3	172	886	83	2014.8795	17.9759	0.902
119	ecm	-0.208	-0.6207	2	105	397	26	2013.1154	35.8846	1.0003
120	eeg	-0.3055	0.9173	1	34	116	26	2010.7692	10.5385	1.1028
121	electrical conductivity	-0.4452	-0.5584	2	195	1029	57	2017.7895	46.0175	1.8891
122	electrical property	0.2195	-0.5932	6	135	448	31	2013.5484	76.0323	2.7001
123	electrical signal	-0.5308	-0.2003	2	104	290	18	2017.6667	140	2.3434
124	electrochemical biosensor	0.6667	0.5879	4	196	1834	116	2019.5517	48.8276	1.6137
125	electrochemical sensor	0.2881	0.2876	6	117	638	47	2017.617	63.9787	1.8293
126	electrode	0.9967	0.0532	5	272	6275	363	2013.2094	86.6474	1.3502
127	electrode surface	1.035	-0.1192	5	119	699	35	2011.8571	160.7714	4.0977
128	electron microscopy	0.6926	-0.4958	5	156	566	41	2014.7805	27.5854	0.8995
129	electronic	-0.4167	0.1369	1	195	1162	92	2018.2935	38.4891	1.2811
130	electrospinning	-0.7103	-0.9526	2	142	1131	41	2016.561	49.4878	1.3402
131	emphasis	-0.5646	0.2293	1	192	701	64	2016.75	35.4844	1.2672
132	encapsulation	-0.2737	-0.2496	3	149	631	48	2013.1667	46.9792	1.1916
133	energy storage	-0.4939	-0.4661	2	118	280	21	2018.2857	60.6667	3.404
134	environmental monitoring	0.0256	0.5267	6	121	320	24	2017.9167	19.7917	0.6191
135	enzyme	0.6717	-0.0012	5	280	4680	301	2014.5581	58.0731	1.1082
136	enzyme immobilization	0.1427	-0.4364	5	94	268	18	2012.9444	65.2778	3.4756
137	ethylene glycol	0.6181	-0.7869	3	131	543	40	2013.75	90.025	2.489
138	ethylenedioxythiophene	-0.5054	-0.7039	2	115	429	20	2019.95	158.4	3.922
139	excellent biocompatibility	-0.6682	-0.1506	2	155	466	34	2018.9412	19.6471	1.4521
140	extent	-0.0302	-0.3419	3	115	252	25	2011.4	16.92	0.5819
141	external stimuli	-0.5607	0.2879	1	139	420	30	2019.3333	49	1.7875
142	extracellular matrix	-0.5436	-0.5575	2	154	602	36	2015.1667	38.8611	1.364
143	fbr	-0.2702	0.101	3	47	259	24	2016.875	64.0833	1.509
144	fiber	-0.3406	-0.3711	2	232	3166	163	2016.7362	27.8221	0.8045
145	film	0.5102	-0.6056	3	275	5494	367	2013.891	42.4033	1.5482
146	fluorescence	0.5314	0.3563	4	114	458	44	2015.0909	16.6818	0.6249
147	food	-0.1211	0.5895	1	147	635	54	2019.7593	13.6296	0.5659
148	fourier	0.9135	-0.6366	5	124	475	33	2014.697	42.1212	1.2532
149	frequency	0.7475	0.2099	4	167	1037	108	2013.75	22.9352	0.4416
150	ftir	0.6291	-0.9151	5	115	554	30	2015.3	37.4667	1.03
151	functional biomaterial	-0.063	-0.2699	2	153	507	35	2019.5429	40.9714	2.4864
152	functional group	0.2472	-0.6334	3	192	951	56	2017.6964	31	1.056
153	functional material	-0.6204	0.0047	2	145	516	36	2022.0278	45.1389	2.3592
154	gel	-0.1713	-0.5262	5	176	1079	80	2016.2125	28.7	0.9533
155	gelatin	-0.6019	-0.3296	2	114	449	31	2021.6774	14.8065	4.0406
156	gene	-0.0123	0.7835	4	140	654	48	2015.1458	24	0.5553
157	gene delivery	-0.7333	0.2939	1	94	298	23	2017.9565	46.1304	1.5262
158	genetic engineering	-0.4757	0.6424	1	103	260	20	2017.75	8.25	0.4621
159	glass	0.0495	-0.2877	5	168	984	60	2013.2333	16.8833	0.5085
160	glucose	0.911	0.1271	4	191	1283	80	2014.8125	41.4	1.1779
161	glucose concentration	1.1052	0.3857	4	91	327	23	2016.6957	18.087	0.6706
162	glucose oxidase	0.971	-0.3264	5	144	641	35	2011.9429	30.9143	0.9305
